Event Title,Event Type,Coordinating Goonj Office,State,City,Event Venue,Created Date (DD-MM-YYYY),Start Date (DD-MM-YYYY),End Date (DD-MM-YYYY),Goonj Event Status,Goonj Event Record Type,Default Role,Goonj Coordinating POC (Main),Number of Participants,Total Amount Contributed,Total Product Sale,Any remarks for internal use,Agenda/Theme and Flow of the meeting,Feedback of the meet
2024/UPD/Volu/005,7,Goonj Delhi,Uttar Pradesh,Ghaziabad,"""Lotus Pond Apartment Gate No. 1, Club House, 
 
 Vaibhav Khand 2 Indirapuram, Ghaziabad""",2024-09-05,2024-09-14 10:00:00,2024-09-14 17:00:00,Completed,Goonj Event,Host,pooja.prasad@goonj.org,,,,,,
2024/UTR/Volu/001,7,Goonj Dehradun,Uttarakhand,Dehradun,"H.No.18/4,Lane no.2,Maharani Bagh road,behind Sethi market,New Vasant Vihar Enclave,Dehradun",2024-04-08,2024-04-07 10:00:00,2024-04-07 17:00:00,Completed,Goonj Event,Host,harshie@goonj.org,,,,,"Introduction of new volunteers,planning of urban implementation work on RWAs,schools and Hotels.",We had 11 volunteers in the meet up.It was well spent evening with the exchange of different opinion and views.
2024/UTR/Volu/002,7,Goonj Dehradun,Uttarakhand,Dehradun,"Community Center,Sector - 4 BHEL Haridwar",2024-07-31,2024-08-04 10:00:00,2024-08-04 17:00:00,Completed,Goonj Event,Host,namrata@goonj.org,,,,,,
2024/UTR/Volu/003,7,Goonj Dehradun,Uttarakhand,Dehradun,"Flat No.404,Block - Mandakini 
 
 Siddharth Paradise,Panditwari,Dehradun",2024-09-09,2024-09-15 10:00:00,2024-09-15 17:00:00,Completed,Goonj Event,Host,harshie@goonj.org,,,,,,
2024/UTR/Volu/004,7,Goonj Dehradun,Uttarakhand,Dehradun,Goonj Near Lal Bahadur Shastri School Dhalwala Rishikesh,2024-11-14,2024-11-28 10:00:00,2024-11-28 17:00:00,Completed,Goonj Event,Host,namrata@goonj.org,,,,,,
2024/WEB/Volu/0004,7,Goonj Kolkata,West Bengal,Purba Bardhaman,"1F,Tower 5,Genexx Exotica, Kumarpur ,Asansol",2024-05-25,2024-05-26 10:00:00,2024-05-26 17:00:00,Completed,Goonj Event,Host,umesh@goonj.org,,,,,Create a platform Where Volunteer Take lead for ongoing Campaign of Goonj and with 16 Volunteers joined,meeting is very interactive where all volunteer frequently ask her question/Doubt.
2024/WEB/Volu/005,7,Goonj Kolkata,West Bengal,Kolkata,"26 N, East Road, Jadavpur, Kolkata - 700032",2024-06-10,2024-06-29 10:00:00,2024-06-29 17:00:00,Completed,Goonj Event,Host,umesh@goonj.org,,,,,Replicating the pointer of Maitree meet for Goonj 3.0,This meet was good with 13 Volunteers
2024/WEB/Volu/006,7,Goonj Kolkata,West Bengal,Kolkata,City Center Near Junction Mall Durgapur,2024-09-24,2024-09-30 10:00:00,2024-09-30 17:00:00,Completed,Goonj Event,Host,arpita@goonj.org,,,,,,
2025/MHR/Volu/019,7,Goonj Mumbai,Maharashtra,Mumbai City,"Club House, Upper Level, Sapphire Heights, Lokhandwala Township, Near Lokhandwala Foundation School, Kandivali -E, Mumbai 4000101",2025-01-02,2024-12-15 10:00:00,2024-12-15 17:00:00,Completed,Goonj Event,Host,chaubey.neha@goonj.org,,,,,,
2025/WEB/Volu/008,7,Goonj Kolkata,West Bengal,Paschim Bardhaman,Saroj AP Tower Tagore Road Durga mandir Usha Gram Aasansol -713303,2025-01-04,2024-12-27 10:00:00,2024-12-27 17:00:00,Completed,Goonj Event,Host,umesh@goonj.org,12,,,,,
